Version =  1.64
NumCams = 1
Cam     Date       Time        Roll     Pitch       Yaw
---  ----------  --------  --------  --------  --------
101  04/21/2013  08:00:00      0.00     0.00      0.00
-------------------------------------------------------
Extinction Fit: Multi-Day = 2
Extinction Coef Scale     = 1.008800
Extinction Coef Rayleigh  = 2.846974
Extinction Coef Oxygen2   = 2.846974
Extinction Coef Ozone     = 0.761201
Extinction Coef Dust      = 17.575153
Extinction Coef Water     = 12.857024
-------------------------------------------------------
Number of wavelengths      = 1209
Responsivity normalization = 302172611547.561830
-------------------------------------------------------
Wave(nm)	WeightSum	DayResp	CumResp	SmoothResp	DayExtn	CumExtn
450.8000	1.173	1078.457450	1078.457450	1078.457450	0.737044	0.737044
451.4000	1.168	1089.488187	1089.488187	1089.488187	0.739571	0.739571
452.0000	1.162	1101.799039	1101.799039	1101.799039	0.741490	0.741490
452.6000	1.158	1111.730302	1111.730302	1111.730302	0.741719	0.741719
453.2000	1.154	1123.372777	1123.372777	1123.372777	0.742743	0.742743
453.8000	1.150	1133.629463	1133.629463	1133.629463	0.744426	0.744426
454.4000	1.145	1145.649169	1145.649169	1145.649169	0.746191	0.746191
455.0000	1.141	1156.116837	1156.116837	1156.116837	0.747384	0.747384
455.6000	1.137	1168.264850	1168.264850	1168.264850	0.747740	0.747740
456.2000	1.133	1178.098666	1178.098666	1178.098666	0.747562	0.747562
456.8000	1.129	1189.519605	1189.519605	1189.519605	0.748820	0.748820
457.4000	1.124	1203.345865	1203.345865	1203.345865	0.749992	0.749992
458.0000	1.119	1215.524213	1215.524213	1215.524213	0.751434	0.751434
458.6000	1.114	1229.026944	1229.026944	1229.026944	0.752970	0.752970
459.2000	1.110	1237.477783	1237.477783	1237.477783	0.754420	0.754420
459.8000	1.107	1249.342616	1249.342616	1249.342616	0.755605	0.755605
460.4000	1.103	1261.857973	1261.857973	1261.857973	0.756821	0.756821
461.0000	1.098	1275.038091	1275.038091	1275.038091	0.756844	0.756844
461.6000	1.093	1288.619457	1288.619457	1288.619457	0.757830	0.757830
462.2000	1.089	1301.382856	1301.382856	1301.382856	0.759062	0.759062
462.8000	1.085	1311.451708	1311.451708	1311.451708	0.759612	0.759612
463.4000	1.082	1323.582114	1323.582114	1323.582114	0.760190	0.760190
464.0000	1.079	1334.553849	1334.553849	1334.553849	0.760854	0.760854
464.6000	1.074	1347.677134	1347.677134	1347.677134	0.760740	0.760740
465.2000	1.070	1358.746067	1358.746067	1358.746067	0.761524	0.761524
465.8000	1.065	1371.749051	1371.749051	1371.749051	0.762985	0.762985
466.4000	1.061	1382.272565	1382.272565	1382.272565	0.764562	0.764562
467.0000	1.057	1393.780180	1393.780180	1393.780180	0.766308	0.766308
467.6000	1.054	1404.385669	1404.385669	1404.385669	0.768017	0.768017
468.2000	1.051	1415.439984	1415.439984	1415.439984	0.769482	0.769482
468.8000	1.047	1427.734960	1427.734960	1427.734960	0.771068	0.771068
469.4000	1.041	1440.379831	1440.379831	1440.379831	0.771121	0.771121
470.0000	1.036	1455.131003	1455.131003	1455.131003	0.771277	0.771277
470.6000	1.032	1465.529537	1465.529537	1465.529537	0.772041	0.772041
471.2000	1.029	1477.281921	1477.281921	1477.281921	0.772654	0.772654
471.8000	1.026	1486.691393	1486.691393	1486.691393	0.773191	0.773191
472.4000	1.022	1498.987767	1498.987767	1498.987767	0.773799	0.773799
473.0000	1.018	1510.147139	1510.147139	1510.147139	0.774238	0.774238
473.6000	1.013	1523.412304	1523.412304	1523.412304	0.774251	0.774251
474.2000	1.009	1534.954075	1534.954075	1534.954075	0.773731	0.773731
474.8000	1.005	1547.540164	1547.540164	1547.540164	0.773875	0.773875
475.4000	1.001	1557.003853	1557.003853	1557.003853	0.774517	0.774517
476.0000	0.998	1570.484580	1570.484580	1570.484580	0.775152	0.775152
476.6000	0.995	1581.164852	1581.164852	1581.164852	0.775896	0.775896
477.2000	0.992	1590.692745	1590.692745	1590.692745	0.776702	0.776702
477.8000	0.988	1600.761952	1600.761952	1600.761952	0.777520	0.777520
478.4000	0.984	1611.576310	1611.576310	1611.576310	0.778303	0.778303
479.0000	0.980	1624.251241	1624.251241	1624.251241	0.779003	0.779003
