Version =  1.64
NumCams = 1
Cam     Date       Time        Roll     Pitch       Yaw
---  ----------  --------  --------  --------  --------
101  04/21/2013  08:00:00      0.00     25.00      0.00
-------------------------------------------------------
Extinction Fit: Multi-Day = 2
Extinction Coef Scale     = 1.008800
Extinction Coef Rayleigh  = 2.846974
Extinction Coef Oxygen2   = 2.846974
Extinction Coef Ozone     = 0.761201
Extinction Coef Dust      = 17.575153
Extinction Coef Water     = 12.857024
-------------------------------------------------------
Number of wavelengths      = 1001
Responsivity normalization = 302172611547561.830
-------------------------------------------------------
Wave(nm)    WeightSum   DayResp     CumResp     SmoothResp  DayExtn     CumExtn
  410.0000      29.928   -0.338697    0.190293    0.233080    0.927322    0.738799
  410.6000      30.038   -0.081044    0.236099    0.237298    0.754931    0.770999
  411.2000      30.395   -0.103634    0.284350    0.241471    0.840987    0.761435
  411.8000      30.007   -0.441098    0.231876    0.245599    0.960853    0.716031
  412.4000      31.063   -0.490032    0.380708    0.249682    0.884408    0.728440
  413.0000      31.097    0.378485    0.331337    0.253723    0.832527    0.746083
  413.6000      30.991    0.303303    0.350428    0.257720    0.922671    0.768472
  414.2000      30.884    0.023639    0.295990    0.261677    0.919012    0.727950
  414.8000      31.038    0.628092    0.334942    0.265594    0.901663    0.756550
  415.4000      31.556    0.473179    0.293775    0.269472    0.872373    0.776746
  416.0000      31.913    0.184527    0.254520    0.273312    0.912002    0.775073
  416.6000      31.969   -0.412710    0.255008    0.277116    0.881855    0.737778
  417.2000      31.621   -0.731026    0.342911    0.280886    0.887579    0.771132
  417.8000      31.791    0.355839    0.331456    0.284622    0.838310    0.740052
  418.4000      32.194    0.232278    0.227322    0.288326    0.808037    0.738526
  419.0000      32.919   -0.484310    0.133548    0.291999    0.782265    0.730432
  419.6000      32.719    0.072397    0.034724    0.295644    0.801072    0.756421
  420.2000      32.785    0.047523    0.119519    0.299261    0.815086    0.760370
  420.8000      33.076   -0.271776    0.200206    0.302853    0.861823    0.772001
  421.4000      32.902   -0.410237    0.237218    0.306419    0.756597    0.746689
  422.0000      33.062   -0.096601    0.355959    0.309963    0.779026    0.768496
  422.6000      32.962    0.744400    0.362257    0.313485    0.702621    0.695741
  423.2000      33.193    0.757010    0.285024    0.316987    0.819149    0.723352
  423.8000      33.929    0.942478    0.318415    0.320471    0.774568    0.741616
  424.4000      33.890    0.794762    0.236564    0.323937    0.824825    0.757663
  425.0000      34.353    0.604648    0.315752    0.327387    0.830308    0.730025
  425.6000      34.230    0.747551    0.369509    0.330822    0.813169    0.733040
  426.2000      34.446    0.784900    0.361731    0.334244    0.773554    0.721232
  426.8000      35.043    0.446750    0.397309    0.337654    0.695062    0.758471
  427.4000      35.542    0.160398    0.412814    0.341052    0.850374    0.752855
  428.0000      35.157    0.199245    0.386251    0.344441    0.780430    0.782729
  428.6000      35.472    0.200961    0.461868    0.347821    0.798167    0.786059
  429.2000      35.755    0.251759    0.370140    0.351194    0.649982    0.750105
  429.8000      35.132    0.485474    0.249262    0.354559    0.600371    0.748328
  430.4000      35.479    0.226492    0.200101    0.357919    0.851193    0.763225
  431.0000      35.351   -0.049296    0.275161    0.361273    0.816117    0.750048
  431.6000      35.892    0.066961    0.366440    0.364623    0.725695    0.755204
  432.2000      35.990    0.072945    0.362064    0.367969    0.723108    0.720790
  432.8000      35.746    0.297623    0.345998    0.371313    0.605240    0.689903
  433.4000      36.280    0.517861    0.330072    0.374654    0.791346    0.742867
  434.0000      36.700    0.558203    0.357196    0.377993    0.832558    0.742105
  434.6000      36.090    0.657237    0.417059    0.381330    0.837645    0.756600
  435.2000      36.974    0.412314    0.432973    0.384667    0.867004    0.776442
  435.8000      37.211    0.320292    0.446514    0.388004    0.756251    0.735103
  436.4000      37.187    0.375290    0.421744    0.391340    0.851107    0.736918
  437.0000      37.403    0.506406    0.367890    0.394676    0.832734    0.766283
  437.6000      37.490    0.380943    0.374004    0.398012    0.850508    0.695631
  438.2000      38.005    0.564133    0.408745    0.401349    0.795293    0.729873
  438.8000      38.114    0.562118    0.414896    0.404686    0.794544    0.736266
  439.4000      37.662    0.441445    0.464749    0.408024    0.718796    0.759567
  440.0000      38.501    0.330191    0.413412    0.411363    0.809730    0.753694
  440.6000      38.552    0.229605    0.451333    0.414702    0.749963    0.733029
  441.2000      38.379    0.476684    0.423279    0.418042    0.802054    0.774685
  441.8000      38.248    0.478902    0.392659    0.421382    0.739877    0.731103
  442.4000      37.838    0.372496    0.425638    0.424723    0.670427    0.743842
  443.0000      38.765    0.427724    0.441039    0.428064    0.777560    0.775117
  443.6000      39.063    0.461909    0.410459    0.431406    0.773126    0.747919
  444.2000      39.168    0.467725    0.450465    0.434747    0.633119    0.790119
  444.8000      39.141    0.204646    0.437622    0.438089    0.734935    0.771899
  445.4000      39.689    0.166565    0.436681    0.441430    0.822710    0.764376
  446.0000      40.101    0.459359    0.466297    0.444770    0.797974    0.747055
  446.6000      40.385    0.804581    0.491851    0.448110    0.794849    0.747573
  447.2000      40.314    0.788949    0.506658    0.451448    0.838737    0.756014
  447.8000      40.420    0.659012    0.478652    0.454786    0.826809    0.775072
  448.4000      41.157    0.593450    0.428386    0.458121    0.856988    0.770676
  449.0000      41.079    0.519765    0.384288    0.461455    0.784641    0.770264
  449.6000      40.985    0.477420    0.450198    0.464787    0.719604    0.761923
  450.2000      41.375    0.461071    0.521866    0.468116    0.880512    0.780514
  450.8000      41.713    0.405112    0.484591    0.471442    0.842509    0.746996
  451.4000      41.940    0.480816    0.483811    0.474766    0.760565    0.765391
  452.0000      42.211    0.555096    0.463917    0.478086    0.808100    0.756565
  452.6000      42.067    0.667198    0.441435    0.481403    0.703552    0.751278
  453.2000      42.303    0.606436    0.463091    0.484716    0.824073    0.731963
  453.8000      42.952    0.373011    0.480619    0.488024    0.832161    0.754853
  454.4000      43.175    0.365219    0.456744    0.491329    0.753798    0.784186
  455.0000      43.427    0.255723    0.484887    0.494629    0.765802    0.756300
  455.6000      43.695    0.405857    0.541988    0.497925    0.772581    0.752369
  456.2000      44.206    0.602691    0.555273    0.501215    0.813234    0.765340
  456.8000      44.321    0.493665    0.518911    0.504500    0.775485    0.780311
  457.4000      44.306    0.340831    0.483372    0.507780    0.744673    0.785790
  458.0000      44.792    0.370753    0.466650    0.511055    0.746313    0.772010
  458.6000      45.035    0.397735    0.490544    0.514323    0.833283    0.772175
  459.2000      45.041    0.417320    0.464996    0.517586    0.805348    0.791030
  459.8000      45.136    0.475794    0.473910    0.520843    0.734267    0.761160
  460.4000      45.269    0.668346    0.535024    0.524094    0.776522    0.771744
  461.0000      45.378    0.676649    0.566605    0.527339    0.820165    0.726663
  461.6000      45.820    0.585894    0.568927    0.530577    0.783195    0.754904
  462.2000      45.851    0.525800    0.530275    0.533809    0.758719    0.763279
  462.8000      45.688    0.659296    0.529033    0.537035    0.799775    0.742012
  463.4000      46.339    0.654469    0.542498    0.540254    0.781442    0.732586
  464.0000      46.459    0.467363    0.545912    0.543467    0.763869    0.749972
  464.6000      46.680    0.446144    0.575195    0.546673    0.735812    0.769084
  465.2000      46.839    0.660142    0.595584    0.549873    0.832293    0.783014
  465.8000      46.809    0.722542    0.618901    0.553066    0.877349    0.753074
  466.4000      46.651    0.573163    0.594475    0.556253    0.814540    0.766125
  467.0000      46.940    0.420531    0.564190    0.559433    0.764107    0.757925
  467.6000      46.973    0.578810    0.569785    0.562607    0.808757    0.750802
  468.2000      47.068    0.721943    0.577133    0.565775    0.819461    0.798347
  468.8000      47.369    0.678839    0.578229    0.568936    0.754368    0.806875
  469.4000      47.678    0.545457    0.584155    0.572092    0.766382    0.770261
  470.0000      47.854    0.722095    0.609962    0.575241    0.803431    0.776586
  470.6000      48.047    0.790067    0.666524    0.578384    0.795677    0.767809
  471.2000      48.239    0.818265    0.623269    0.581521    0.753035    0.765560
  471.8000      48.477    0.731438    0.539912    0.584653    0.739205    0.759701
  472.4000      48.551    0.818689    0.577587    0.587779    0.751642    0.762641
  473.0000      48.631    0.816022    0.621046    0.590900    0.831653    0.798707
  473.6000      48.940    0.471772    0.587417    0.594015    0.827747    0.775962
  474.2000      48.689    0.383335    0.595453    0.597125    0.793999    0.764428
  474.8000      48.779    0.564973    0.624267    0.600230    0.811489    0.794128
  475.4000      49.135    0.623533    0.601857    0.603330    0.810730    0.765299
  476.0000      49.230    0.631407    0.580033    0.606425    0.763432    0.745278
  476.6000      48.737    0.640515    0.600920    0.609516    0.779348    0.771545
  477.2000      49.295    0.677536    0.620305    0.612602    0.832991    0.778252
  477.8000      49.241    0.589369    0.591758    0.615684    0.825970    0.772805
  478.4000      49.514    0.407009    0.586953    0.618762    0.801211    0.780477
  479.0000      49.462    0.432182    0.647501    0.621836    0.867357    0.764270
  479.6000      49.735    0.664181    0.674347    0.624906    0.866501    0.734183
  480.2000      49.789    0.693540    0.671034    0.627972    0.839673    0.775669
  480.8000      49.893    0.590109    0.635618    0.631034    0.764505    0.732608
  481.4000      50.423    0.658336    0.562231    0.634093    0.742333    0.705277
  482.0000      50.672    0.721330    0.587891    0.637149    0.791789    0.724490
