Version =  1.64
NumCams = 1
Cam     Date       Time        Roll     Pitch       Yaw
---  ----------  --------  --------  --------  --------
101  04/21/2013  08:00:00      0.00     0.00      0.00
-------------------------------------------------------
Extinction Fit: Multi-Day = 2
Extinction Coef Scale     = 1.008800
Extinction Coef Rayleigh  = 2.846974
Extinction Coef Oxygen2   = 2.846974
Extinction Coef Ozone     = 0.761201
Extinction Coef Dust      = 17.575153s
Extinction Coef Water     = 12.857024
-------------------------------------------------------
Number of wavelengths      = 1209
Responsivity normalization = 302172611547.561830
-------------------------------------------------------
Wave(nm)  WeightSum   DayResp     CumResp     SmoothResp  DayExtn     CumExtn
  423.2000       1.407    0.001888    0.001888    0.001888    0.674943    0.674943
  423.8000       1.402    0.001852    0.001852    0.001852    0.677289    0.677289
  424.4000       1.397    0.001816    0.001816    0.001816    0.679298    0.679298
  425.0000       1.391    0.001779    0.001779    0.001779    0.679669    0.679669
  425.6000       1.385    0.001746    0.001746    0.001746    0.679942    0.679942
  426.2000       1.379    0.001714    0.001714    0.001714    0.682255    0.682255
  426.8000       1.374    0.001679    0.001679    0.001679     0.68514     0.68514
  427.4000       1.369    0.001650    0.001650    0.001650    0.688043    0.688043
  428.0000       1.364    0.001617    0.001617    0.001617    0.690212    0.690212
  428.6000       1.358    0.001589    0.001589    0.001589    0.690352    0.690352
  429.2000       1.352    0.001559    0.001559    0.001559    0.690072    0.690072
  429.8000       1.347    0.001527    0.001527    0.001527    0.691936    0.691936
  430.4000       1.341    0.001501    0.001501    0.001501    0.694051    0.694051
  431.0000       1.337    0.001477    0.001477    0.001477    0.695655    0.695655
  431.6000       1.332    0.001449    0.001449    0.001449    0.697145    0.697145
  432.2000       1.327    0.001426    0.001426    0.001426    0.698012    0.698012
  432.8000       1.321    0.001402    0.001402    0.001402    0.698022    0.698022
  433.4000       1.316    0.001377    0.001377    0.001377    0.699346    0.699346
  434.0000       1.310    0.001353    0.001353    0.001353     0.70124     0.70124
  434.6000       1.304    0.001330    0.001330    0.001330    0.703502    0.703502
  435.2000       1.299    0.001309    0.001309    0.001309    0.705577    0.705577
  435.8000       1.294    0.001289    0.001289    0.001289    0.707461    0.707461
  436.4000       1.289    0.001270    0.001270    0.001270     0.70809     0.70809
  437.0000       1.284    0.001248    0.001248    0.001248    0.709047    0.709047
  437.6000       1.279    0.001230    0.001230    0.001230    0.710316    0.710316
  438.2000       1.273    0.001210    0.001210    0.001210    0.711404    0.711404
  438.8000       1.267    0.001192    0.001192    0.001192     0.71269     0.71269
  439.4000       1.261    0.001173    0.001173    0.001173    0.713993    0.713993
  440.0000       1.256    0.001158    0.001158    0.001158     0.71416     0.71416
  440.6000       1.251    0.001140    0.001140    0.001140    0.714688    0.714688
  441.2000       1.246    0.001124    0.001124    0.001124    0.716202    0.716202
  441.8000       1.241    0.001109    0.001109    0.001109    0.717767    0.717767
  442.4000       1.236    0.001094    0.001094    0.001094    0.719522    0.719522
  443.0000       1.232    0.001081    0.001081    0.001081    0.721248    0.721248
  443.6000       1.228    0.001067    0.001067    0.001067    0.722729    0.722729
  444.2000       1.224    0.001054    0.001054    0.001054     0.72423     0.72423
  444.8000       1.220    0.001040    0.001040    0.001040     0.72435     0.72435
  445.4000       1.215    0.001028    0.001028    0.001028    0.725123    0.725123
  446.0000       1.211    0.001017    0.001017    0.001017    0.727172    0.727172
  446.6000       1.206    0.001006    0.001006    0.001006    0.729078    0.729078
  447.2000       1.201    0.000992    0.000992    0.000992    0.730617    0.730617
  447.8000       1.195    0.000981    0.000981    0.000981     0.73166     0.73166
  448.4000       1.190    0.000969    0.000969    0.000969    0.731056    0.731056
  449.0000       1.185    0.000958    0.000958    0.000958    0.729873    0.729873
  449.6000       1.181    0.000948    0.000948    0.000948    0.731428    0.731428
  450.2000       1.177    0.000937    0.000937    0.000937    0.734045    0.734045
  450.8000       1.173    0.000927    0.000927    0.000927    0.737044    0.737044
  451.4000       1.168    0.000918    0.000918    0.000918    0.739571    0.739571
  452.0000       1.162    0.000908    0.000908    0.000908     0.74149     0.74149
  452.6000       1.158    0.000899    0.000899    0.000899    0.741719    0.741719
  453.2000       1.154    0.000890    0.000890    0.000890    0.742743    0.742743
  453.8000       1.150    0.000882    0.000882    0.000882    0.744426    0.744426
  454.4000       1.145    0.000873    0.000873    0.000873    0.746191    0.746191
  455.0000       1.141    0.000865    0.000865    0.000865    0.747384    0.747384
  455.6000       1.137    0.000856    0.000856    0.000856     0.74774     0.74774
  456.2000       1.133    0.000849    0.000849    0.000849    0.747562    0.747562
  456.8000       1.129    0.000841    0.000841    0.000841     0.74882     0.74882
  457.4000       1.124    0.000831    0.000831    0.000831    0.749992    0.749992
  458.0000       1.119    0.000823    0.000823    0.000823    0.751434    0.751434
