342,0.2914,,,,,,, 373.400    -1.277244e+12     1.995983e+11
343,0.2914,,,,,,, 374.000    -1.236850e+12    -3.082146e+11
344,0.2914,,,,,,, 374.600     9.811958e+11    -1.099910e+11
345,0.2914,,,,,,, 375.200     1.590828e+12    -1.289261e+11
346,0.2914,,,,,,, 375.800     1.919801e+12     1.611305e+11
347,0.2913,,,,,,, 376.400     6.644760e+11     2.072979e+11
348,0.2915,,,,,,, 377.000    -9.589709e+11     8.859139e+10
349,0.2913,,,,,,, 377.600    -7.765869e+11     9.586347e+10
350,0.2868,,,,,,, 378.200    -8.175658e+11     1.423498e+11
351,0.3363,,,,,,, 378.800    -7.541106e+11    -1.700068e+11
352,0.3656,,,,,,, 379.400     2.817103e+11    -4.251045e+11
353,0.3647,,,,,,, 380.000     3.372181e+11    -3.615829e+11
354,0.3641,,,,,,, 380.600     2.994219e+11    -2.914469e+11
355,0.3642,,,,,,, 381.200     1.293893e+12    -2.909365e+11
356,0.3642,,,,,,, 381.800     6.695828e+11    -2.015335e+11
357,0.3642,,,,,,, 382.400    -1.530874e+12    -2.071020e+11
358,0.3642,,,,,,, 383.000    -6.650692e+11    -4.623215e+10
359,0.3642,,,,,,, 383.600    -5.477040e+11     6.402065e+10
360,0.3642,,,,,,, 384.200     1.128276e+12     1.476713e+11
361,0.3641,,,,,,, 384.800     1.722361e+12    -5.724485e+10
362,0.3643,,,,,,, 385.400     1.618290e+12    -5.624947e+10
363,0.3665,,,,,,, 386.000     2.959546e+12     4.545837e+10
364,0.3486,,,,,,, 386.600     1.047576e+12    -1.771784e+11
365,0.4969,,,,,,, 387.200    -8.984178e+11    -8.411320e+10
366,0.5075,,,,,,, 387.800    -8.054854e+11     4.057479e+10
367,0.5026,,,,,,, 388.400    -1.653883e+12    -2.129182e+10
368,0.5741,,,,,,,
369,0.5937,,,,,,,
370,0.7329,,,,,,,
371,0.8305,,,,,,,
372,0.9489,,,,,,,
373,1.148,,,,,,,
374,1.283,,,,,,,
375,1.447,,,,,,,
376,1.634,,,,,,,
377,1.871,,,,,,,
378,2.09,,,,,,,
379,2.368,,,,,,,
380,2.651,,,,,,,
381,2.937,,,,,,,
382,3.222,,,,,,,
383,3.528,,,,,,,
384,3.925,,,,,,,
385,4.224,,,,,,,
386,4.607,,,,,,,
387,4.985,,,,,,,
388,5.366,,,,,,,
389,5.743,,,,,,,
390,6.166,,,,,,,
391,6.583,,,,,,,
392,6.961,,,,,,,
393,7.341,,,,,,,
394,7.721,,,,,,,
395,8.101,,,,,,,
396,8.502,,,,,,,
397,8.992,,,,,,,
398,9.389,,,,,,,
399,9.77,,,,,,,
400,10.15,,,,,,,
401,10.53,,,,,,,
402,10.99,,,,,,,
403,11.4,,,,,,,
404,11.82,,,,,,,
405,12.21,,,,,,,
406,12.65,,,,,,,
407,13.09,,,,,,,
408,13.48,,,,,,,
409,13.89,,,,,,,
410,14.32,,,,,,,
411,14.77,,,,,,,
412,15.15,,,,,,,
413,15.57,,,,,,,
414,16.05,,,,,,,
415,16.44,,,,,,,
416,16.86,,,,,,,
417,17.27,,,,,,,
418,17.73,,,,,,,
419,18.14,,,,,,,
420,18.56,,,,,,,
421,19.01,,,,,,,
422,19.41,,,,,,,
423,19.85,,,,,,,
424,20.3,,,,,,,
425,20.68,,,,,,,
426,21.1,,,,,,,
427,21.51,,,,,,,
428,21.98,,,,,,,
429,22.34,,,,,,,
430,22.79,,,,,,,
431,23.19,,,,,,,
432,23.65,,,,,,,
433,24.01,,,,,,,
434,24.4,,,,,,,
435,24.82,,,,,,,
436,25.32,,,,,,,
437,25.68,,,,,,,
438,26.07,,,,,,,
439,26.45,,,,,,,
440,26.82,,,,,,,
441,27.28,,,,,,,
442,27.66,,,,,,,
443,28.04,,,,,,,
444,28.42,,,,,,,
445,28.88,,,,,,,
446,29.25,,,,,,,
447,29.64,,,,,,,
448,30.02,,,,,,,
449,30.4,,,,,,,
450,30.78,,,,,,,
451,31.17,,,,,,,
452,31.58,,,,,,,
453,31.92,,,,,,,
454,32.22,,,,,,,
455,32.61,,,,,,,
456,32.99,,,,,,,
457,33.37,,,,,,,
458,33.75,,,,,,,
459,34.13,,,,,,,
460,34.51,,,,,,,
461,34.89,,,,,,,
462,35.27,,,,,,,
463,35.65,,,,,,,
464,36.03,,,,,,,
465,36.41,,,,,,,
466,36.79,,,,,,,
467,37.17,,,,,,,
468,37.55,,,,,,,
469,37.93,,,,,,,
470,38.31,,,,,,,
471,38.7,,,,,,,
472,39.03,,,,,,,
473,39.38,,,,,,,
474,39.68,,,,,,,
475,40.07,,,,,,,
476,40.45,,,,,,,
477,40.82,,,,,,,
478,41.13,,,,,,,
479,41.53,,,,,,,
480,41.83,,,,,,,
481,42.22,,,,,,,
482,42.54,,,,,,,
483,42.9,,,,,,,
484,43.28,,,,,,,
485,43.57,,,,,,,
486,43.89,,,,,,,
487,44.28,,,,,,,
488,44.58,,,,,,,
489,44.88,,,,,,,
490,45.26,,,,,,,
491,45.54,,,,,,,
492,45.89,,,,,,,
493,46.19,,,,,,,
494,46.47,,,,,,,
495,46.81,,,,,,,
496,47.12,,,,,,,
497,47.43,,,,,,,
498,47.72,,,,,,,
499,48.04,,,,,,,
500,48.26,,,,,,,
501,48.59,,,,,,,
502,48.83,,,,,,,
503,49.12,,,,,,,
504,49.4,,,,,,,
505,49.69,,,,,,,
506,49.97,,,,,,,
507,50.23,,,,,,,
508,50.52,,,,,,,
509,50.76,,,,,,,
510,51.05,,,,,,,
511,51.29,,,,,,,
512,51.53,,,,,,,
513,51.81,,,,,,,
514,52.03,,,,,,,
515,52.27,,,,,,,
516,52.46,,,,,,,
517,52.68,,,,,,,
518,52.75,,,,,,,
519,52.95,,,,,,,
520,53.06,,,,,,,
521,53.28,,,,,,,
522,53.32,,,,,,,
523,53.49,,,,,,,
524,53.56,,,,,,,
525,53.74,,,,,,,
526,53.77,,,,,,,
527,53.91,,,,,,,
528,53.95,,,,,,,
529,54.05,,,,,,,
530,54.15,,,,,,,
531,54.25,,,,,,,
532,54.27,,,,,,,
533,54.36,,,,,,,
534,54.45,,,,,,,
535,54.55,,,,,,,
536,54.55,,,,,,,
537,54.63,,,,,,,
538,54.71,,,,,,,
539,54.71,,,,,,,
540,54.81,,,,,,,
541,54.86,,,,,,,
542,54.85,,,,,,,
543,54.95,,,,,,,
544,55,,,,,,,
545,55,,,,,,,
546,55.03,,,,,,,
547,55.16,,,,,,,
548,55.14,,,,,,,
549,55.14,,,,,,,
550,55.21,,,,,,,
551,55.29,,,,,,,
552,55.29,,,,,,,
553,55.29,,,,,,,
554,55.27,,,,,,,
555,55.43,,,,,,,
556,55.43,,,,,,,
557,55.43,,,,,,,
558,55.43,,,,,,,
559,55.43,,,,,,,
560,55.42,,,,,,,
561,55.56,,,,,,,
562,55.58,,,,,,,
563,55.58,,,,,,,
564,55.58,,,,,,,
565,55.58,,,,,,,
566,55.63,,,,,,,
567,55.73,,,,,,,
568,55.72,,,,,,,
569,55.72,,,,,,,
570,55.72,,,,,,,
571,55.72,,,,,,,
572,55.72,,,,,,,
573,55.72,,,,,,,
574,55.72,,,,,,,
575,55.72,,,,,,,
576,55.64,,,,,,,
577,55.65,,,,,,,
578,55.65,,,,,,,
579,55.57,,,,,,,
580,55.58,,,,,,,
581,55.58,,,,,,,
582,55.58,,,,,,,
583,55.58,,,,,,,
584,55.58,,,,,,,
585,55.58,,,,,,,
586,55.58,,,,,,,
587,55.58,,,,,,,
588,55.58,,,,,,,
