Wavelength (nm)	Intensity
738.595553	159.000000
739.530553	148.000000
740.465553	114.900000
741.400553	150.000000
742.335553	149.000000
743.270553	243.400000
744.205553	246.700000
745.140553	240.900000
746.075553	237.300000
747.010553	230.200000
747.945553	157.600000
748.880553	113.100000
749.815553	215.500000
750.750553	128.900000
751.685553	200.400000
752.620553	169.000000
753.555553	104.800000
754.490553	106.700000
755.425553	177.300000
756.360553	169.000000
757.295553	181.900000
758.230553	183.600000
759.165553	111.900000
760.100553	39.700000
761.035553	57.500000
761.970553	55.700000
762.905553	7.200000
763.840553	35.100000
764.775553	53.700000
765.710553	145.100000
766.645553	133.300000
767.580553	138.800000
768.515553	153.200000
769.450553	105.000000
770.385553	122.800000
771.320553	107.800000
772.255553	93.500000
773.190553	171.800000
774.125553	149.200000
775.060553	216.300000
775.995553	886.700000
776.930553	1238.200000
777.865553	792.000000
778.800553	466.900000
779.735553	256.800000
780.670553	156.800000
781.605553	100.400000
782.540553	137.800000
783.475553	84.000000
784.410553	47.000000
785.345553	102.600000
786.280553	61.700000
787.215553	14.800000
788.150553	45.900000
789.085553	67.500000
790.020553	26.900000
790.955553	63.900000
791.890553	29.800000
792.825553	25.500000
793.760553	56.900000
794.695553	66.400000
795.630553	25.900000
796.565553	54.000000
797.500553	17.900000
798.435553	6.000000
799.370553	22.000000
800.305553	16.600000
801.240553	20.700000
804.045553	6.900000
804.980553	13.400000
806.850553	20.800000
807.785553	12.400000
809.655553	32.400000
811.525553	25.800000
812.460553	7.900000
813.395553	13.800000
816.200553	4.500000
818.070553	73.600000
819.005553	41.900000
819.940553	43.300000
820.875553	17.400000
821.810553	100.700000
822.745553	80.400000
823.680553	92.700000
824.615553	10.400000
825.550553	10.400000
826.485553	11.900000
827.420553	54.400000
828.355553	0.200000
829.290553	25.500000
832.095553	9.600000
833.030553	20.300000
834.900553	1.000000
835.835553	0.300000
837.705553	10.100000
838.640553	9.300000
841.445553	11.900000
843.315553	49.200000
844.250553	159.500000
845.185553	182.400000
846.120553	97.200000
847.055553	89.000000
847.990553	82.600000
848.925553	2.300000
850.795553	53.400000
851.730553	27.500000
852.665553	24.000000
853.600553	91.900000
854.535553	75.100000
855.470553	33.500000
856.405553	7.300000
858.275553	17.800000
859.210553	13.200000
861.080553	1.300000
862.015553	64.100000
862.950553	18.700000
863.885553	109.200000
864.820553	25.400000
865.755553	38.600000
866.690553	5.200000
867.625553	85.100000
868.560553	214.200000
869.495553	200.800000
870.430553	164.200000
871.365553	125.900000
872.300553	109.400000
874.170553	57.400000
875.105553	35.300000
876.040553	10.800000
876.975553	29.800000
877.910553	68.200000
