G0V star - 0.93 max
wl,Response
1077,0.03427
1078,0.03269
1079,0.03186
1080,0.03092
1081,0.02911
1082,0.02829
1083,0.02673
1084,0.02538
1085,0.02453
1086,0.02359
1087,0.02273
1088,0.02174
1089,0.02004
1090,0.01899
1091,0.01822
1092,0.01671
1093,0.01529
1094,0.01444
1095,0.01351
1096,0.01263
1097,0.01168
1098,0.01081
1099,0.009187
1100,0.008326
2000,0.0
