G0V star - 0.93 max
wl,Response
860.0,0.006341
861.0,0.006378
862.0,0.005851
863.0,0.005853
864.0,0.005852
865.0,0.005763
866.0,0.005365
867.0,0.005365
868.0,0.005365
869.0,0.005365
870.0,0.005365
871.0,0.005365
872.0,0.005365
873.0,0.005365
874.0,0.005365
875.0,0.005405
876.0,0.004876
877.0,0.004877
878.0,0.004877
879.0,0.004877
880.0,0.004877
881.0,0.004877
882.0,0.004877
883.0,0.004877
884.0,0.004877
885.0,0.004877
886.0,0.004877
887.0,0.004877
888.0,0.004877
889.0,0.004877
890.0,0.004877
891.0,0.004877
892.0,0.004891
893.0,0.005352
894.0,0.005365
895.0,0.005365
896.0,0.005365
897.0,0.005365
898.0,0.005365
899.0,0.005365
900.0,0.005365
901.0,0.005365
902.0,0.005365
903.0,0.005365
904.0,0.005365
905.0,0.005365
906.0,0.005365
907.0,0.005365
908.0,0.005365
909.0,0.005365
910.0,0.005365
911.0,0.005365
912.0,0.005365
913.0,0.005365
914.0,0.005365
915.0,0.005365
916.0,0.005365
917.0,0.005365
2000.0,0.0
